Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail,Tail First Tokens
prize,award,accordance,in accordance with the principles of transparency and equal treatment,"['accordance', 'principles', 'transparency', 'equal treatment']",TITLE IX PRIZES,Article 206  General rules ,"[' \nPrizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the \nachievement of policy objectives of the Union. ', ' \nPrizes shall not be awarded directly without a contest. \nContests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are \nmentioned in the financing decision referred to in Article 110 and after information on such prizes has been \nsubmitted to the European Parliament and to the Council. ', ' \nThe amount of the prize shall not be linked to costs incurred by the winner. ', ' \nWhere implementation of an action or work programme requires prizes to be awarded to third parties by a \nbeneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the \nprizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, \nwith no margin for discretion. ']",in accordance with the principles of transparency and equal treatment,in accordance with the principles of transparency and
prize,promote,union,the achievement of policy objectives of the union,"['achievement', 'policy objectives', 'union']",TITLE IX PRIZES,Article 206  General rules ,"[' \nPrizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the \nachievement of policy objectives of the Union. ', ' \nPrizes shall not be awarded directly without a contest. \nContests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are \nmentioned in the financing decision referred to in Article 110 and after information on such prizes has been \nsubmitted to the European Parliament and to the Council. ', ' \nThe amount of the prize shall not be linked to costs incurred by the winner. ', ' \nWhere implementation of an action or work programme requires prizes to be awarded to third parties by a \nbeneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the \nprizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, \nwith no margin for discretion. ']",the achievement of policy objectives of the union,the achievement of policy objectives of the union
prize,award,contest,directly without a contest,['contest'],TITLE IX PRIZES,Article 206  General rules ,"[' \nPrizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the \nachievement of policy objectives of the Union. ', ' \nPrizes shall not be awarded directly without a contest. \nContests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are \nmentioned in the financing decision referred to in Article 110 and after information on such prizes has been \nsubmitted to the European Parliament and to the Council. ', ' \nThe amount of the prize shall not be linked to costs incurred by the winner. ', ' \nWhere implementation of an action or work programme requires prizes to be awarded to third parties by a \nbeneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the \nprizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, \nwith no margin for discretion. ']",directly without a contest,directly without a contest
prize,mention,article,where in the financing decision referred to in article 110 and,"['financing decision', 'article']",TITLE IX PRIZES,Article 206  General rules ,"[' \nPrizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the \nachievement of policy objectives of the Union. ', ' \nPrizes shall not be awarded directly without a contest. \nContests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are \nmentioned in the financing decision referred to in Article 110 and after information on such prizes has been \nsubmitted to the European Parliament and to the Council. ', ' \nThe amount of the prize shall not be linked to costs incurred by the winner. ', ' \nWhere implementation of an action or work programme requires prizes to be awarded to third parties by a \nbeneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the \nprizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, \nwith no margin for discretion. ']",where in the financing decision referred to in article 110 and,where in the financing decision referred to in
prize,link,cost,to costs incurred by the winner,"['costs', 'winner']",TITLE IX PRIZES,Article 206  General rules ,"[' \nPrizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the \nachievement of policy objectives of the Union. ', ' \nPrizes shall not be awarded directly without a contest. \nContests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are \nmentioned in the financing decision referred to in Article 110 and after information on such prizes has been \nsubmitted to the European Parliament and to the Council. ', ' \nThe amount of the prize shall not be linked to costs incurred by the winner. ', ' \nWhere implementation of an action or work programme requires prizes to be awarded to third parties by a \nbeneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the \nprizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, \nwith no margin for discretion. ']",to costs incurred by the winner,to costs incurred by the winner
action work programme,require,eligibility award criterion,prizes to be awarded to third parties by a beneficiary that beneficiary may award such prizes where provided that the eligibility and award criteria,"['prizes', 'parties', 'beneficiary', 'beneficiary', 'prizes', 'eligibility award criteria']",TITLE IX PRIZES,Article 206  General rules ,"[' \nPrizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the \nachievement of policy objectives of the Union. ', ' \nPrizes shall not be awarded directly without a contest. \nContests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are \nmentioned in the financing decision referred to in Article 110 and after information on such prizes has been \nsubmitted to the European Parliament and to the Council. ', ' \nThe amount of the prize shall not be linked to costs incurred by the winner. ', ' \nWhere implementation of an action or work programme requires prizes to be awarded to third parties by a \nbeneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the \nprizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, \nwith no margin for discretion. ']",prizes to be awarded to third parties by a beneficiary that beneficiary may award such prizes where provided that the eligibility and award criteria,prizes to be awarded to third parties by
prize,award,beneficiary,by a beneficiary that beneficiary may award such prizes,"['beneficiary', 'beneficiary', 'prizes']",TITLE IX PRIZES,Article 206  General rules ,"[' \nPrizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the \nachievement of policy objectives of the Union. ', ' \nPrizes shall not be awarded directly without a contest. \nContests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are \nmentioned in the financing decision referred to in Article 110 and after information on such prizes has been \nsubmitted to the European Parliament and to the Council. ', ' \nThe amount of the prize shall not be linked to costs incurred by the winner. ', ' \nWhere implementation of an action or work programme requires prizes to be awarded to third parties by a \nbeneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the \nprizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, \nwith no margin for discretion. ']",by a beneficiary that beneficiary may award such prizes,by a beneficiary that beneficiary may award such
beneficiary,award,prize,such prizes,['prizes'],TITLE IX PRIZES,Article 206  General rules ,"[' \nPrizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the \nachievement of policy objectives of the Union. ', ' \nPrizes shall not be awarded directly without a contest. \nContests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are \nmentioned in the financing decision referred to in Article 110 and after information on such prizes has been \nsubmitted to the European Parliament and to the Council. ', ' \nThe amount of the prize shall not be linked to costs incurred by the winner. ', ' \nWhere implementation of an action or work programme requires prizes to be awarded to third parties by a \nbeneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the \nprizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, \nwith no margin for discretion. ']",such prizes,such prizes
prize,define,commission,in the grant agreement between the beneficiary and the commission with no margin for discretion,"['grant agreement', 'beneficiary', 'commission', 'margin', 'discretion']",TITLE IX PRIZES,Article 206  General rules ,"[' \nPrizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the \nachievement of policy objectives of the Union. ', ' \nPrizes shall not be awarded directly without a contest. \nContests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are \nmentioned in the financing decision referred to in Article 110 and after information on such prizes has been \nsubmitted to the European Parliament and to the Council. ', ' \nThe amount of the prize shall not be linked to costs incurred by the winner. ', ' \nWhere implementation of an action or work programme requires prizes to be awarded to third parties by a \nbeneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the \nprizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, \nwith no margin for discretion. ']",in the grant agreement between the beneficiary and the commission with no margin for discretion,in the grant agreement between the beneficiary and
rule,specify,exclusion criterion,the eligibility criteria specify the arrangements and the final date for the registration of applicants if required and for the submission of applications specify the exclusion criteria as set out in articles 136 and,"['eligibility criteria', 'arrangements', 'final date', 'registration', 'applicants', 'submission', 'applications', 'exclusion criteria', 'articles']",TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",the eligibility criteria specify the arrangements and the final date for the registration of applicants if required and for the submission of applications specify the exclusion criteria as set out in articles 136 and,the eligibility criteria specify the arrangements and the
eligibility criterion,specify,final date,the arrangements and the final date for the registration of applicants,"['arrangements', 'final date', 'registration', 'applicants']",TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",the arrangements and the final date for the registration of applicants,the arrangements and the final date for the
eligibility criterion,specify,exclusion criterion,the exclusion criteria,['exclusion criteria'],TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",the exclusion criteria,the exclusion criteria
eligibility criterion,set,article,in articles 136 and,['articles'],TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",in articles 136 and,in articles 136 and
