Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail,Tail First Tokens
accounting method,take,account,into account to the greatest extent possible,"['account', 'greatest extent']",TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"[' \nUnion contributions under direct, shared and indirect management shall help achieve a Union policy objective and \nthe results specified and may take any of the following forms: \n(a) financing not linked to the costs of the relevant operations based on: \n(i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or \n(ii) the achievement of results measured by reference to previously set milestones or through performance indicators; \n(b) reimbursement of eligible costs actually incurred; \n(c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by \nreference to an amount per unit; \n(d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified \nin advance;   \x0c \n(e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by \napplying a percentage; \n(f) a combination of the forms referred to in points (a) to (e). \nUnion contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, \nbe established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, \nin accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this \nparagraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules \nand, in shared management, in accordance with sector-specific rules. ', ' \nWhen determining the appropriate form of a contribution, the potential recipients’ interests and accounting \nmethods shall be taken into account to the greatest extent possible. ', ' \nThe authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the \nfirst subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9). ']",into account to the greatest extent possible,into account to the greatest extent possible
authorise officer,refer,article,to in article 74(9,['article'],TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"[' \nUnion contributions under direct, shared and indirect management shall help achieve a Union policy objective and \nthe results specified and may take any of the following forms: \n(a) financing not linked to the costs of the relevant operations based on: \n(i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or \n(ii) the achievement of results measured by reference to previously set milestones or through performance indicators; \n(b) reimbursement of eligible costs actually incurred; \n(c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by \nreference to an amount per unit; \n(d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified \nin advance;   \x0c \n(e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by \napplying a percentage; \n(f) a combination of the forms referred to in points (a) to (e). \nUnion contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, \nbe established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, \nin accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this \nparagraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules \nand, in shared management, in accordance with sector-specific rules. ', ' \nWhen determining the appropriate form of a contribution, the potential recipients’ interests and accounting \nmethods shall be taken into account to the greatest extent possible. ', ' \nThe authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the \nfirst subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9). ']",to in article 749,to in article 749
assessment,make,regulation,insofar on the compliance with conditions equivalent to those set out in this regulation for the applicable method of implementation,"['compliance', 'conditions', '', 'regulation', 'applicable method', 'implementation']",TITLE V COMMON RULES,Article 126  Cross-reliance on assessments ,"['\nThe Commission may rely in full or in part on assessments made by itself or other entities, including donors, insofar as \nsuch assessments were made on the compliance with conditions equivalent to those set out in this Regulation for the \napplicable method of implementation. To that end, the Commission shall promote the recognition of internationally \naccepted standards or international best practices. ']",insofar on the compliance with conditions equivalent to those set out in this regulation for the applicable method of implementation,insofar on the compliance with conditions equivalent to
sectorspecific rule,provide,auditor,that there is sufficient evidence of the independence and competence of the auditor where,"['sufficient evidence', 'independence', 'competence', 'auditor']",TITLE V COMMON RULES,Article 127  Cross-reliance on audits ,"['\nWithout prejudice to existing possibilities for carrying out further audits, where an audit based on internationally accepted \naudit standards providing reasonable assurance has been conducted by an independent auditor on the financial statements \nand reports setting out the use of a Union contribution, that audit shall form the basis of the overall assurance, as further \nspecified, where appropriate, in sector-specific rules, provided that there is sufficient evidence of the independence and \ncompetence of the auditor. To that end, the report of the independent auditor and the related audit documentation shall \nbe made available on request to the European Parliament, the Commission, the Court of Auditors and the audit \nauthorities of Member States. ']",that there is sufficient evidence of the independence and competence of the auditor where,that there is sufficient evidence of the independence
sectorspecific rule,be,auditor,sufficient evidence of the independence and competence of the auditor,"['sufficient evidence', 'independence', 'competence', 'auditor']",TITLE V COMMON RULES,Article 127  Cross-reliance on audits ,"['\nWithout prejudice to existing possibilities for carrying out further audits, where an audit based on internationally accepted \naudit standards providing reasonable assurance has been conducted by an independent auditor on the financial statements \nand reports setting out the use of a Union contribution, that audit shall form the basis of the overall assurance, as further \nspecified, where appropriate, in sector-specific rules, provided that there is sufficient evidence of the independence and \ncompetence of the auditor. To that end, the report of the independent auditor and the related audit documentation shall \nbe made available on request to the European Parliament, the Commission, the Court of Auditors and the audit \nauthorities of Member States. ']",sufficient evidence of the independence and competence of the auditor,sufficient evidence of the independence and competence of
relate audit documentation,make,european parliament,on request to the european parliament,"['request', 'european parliament']",TITLE V COMMON RULES,Article 127  Cross-reliance on audits ,"['\nWithout prejudice to existing possibilities for carrying out further audits, where an audit based on internationally accepted \naudit standards providing reasonable assurance has been conducted by an independent auditor on the financial statements \nand reports setting out the use of a Union contribution, that audit shall form the basis of the overall assurance, as further \nspecified, where appropriate, in sector-specific rules, provided that there is sufficient evidence of the independence and \ncompetence of the auditor. To that end, the report of the independent auditor and the related audit documentation shall \nbe made available on request to the European Parliament, the Commission, the Court of Auditors and the audit \nauthorities of Member States. ']",on request to the european parliament,on request to the european parliament
union fund,grant,authorise officer,the necessary rights and access required for the authorising officer responsible for eppo in respect of those member states participating in enhanced cooperation pursuant to regulation (eu) 20171939 for olaf for the court of auditors and,"['necessary rights', 'access', 'authorising officer', 'eppo', 'respect', 'member states', 'enhanced cooperation', 'regulation', 'eu', 'court', 'auditors']",TITLE V COMMON RULES,Article 129  Cooperation for protection of the financial interests of the Union ,"[' \nAny person or entity receiving Union funds shall fully cooperate in the protection of the financial interests of the \nUnion and shall, as a condition for receiving the funds, grant the necessary rights and access required for the authorising \nofficer responsible, for EPPO in respect of those Member States participating in enhanced cooperation pursuant to \nRegulation (EU) 2017/1939, for OLAF, for the Court of Auditors, and, where appropriate, for the relevant national \nauthorities, to comprehensively exert their respective competences. In the case of OLAF, such rights shall include the right \nto carry out investigations, including on-the-spot checks and inspections, in accordance with Regulation (EU, Euratom) \nNo 883/2013 of the European Parliament and of the Council ( 1 ). ', ' \nAny person or entity receiving Union funds under direct and indirect management shall agree in writing to grant \nthe necessary rights as referred to in paragraph 1 and shall ensure that any third parties involved in the implementation \nof Union funds grant equivalent rights. \nL 193/90    1).\n\x0c \nCHAPTER 2 \nRules applicable to direct and indirect management \nS e c t i o n 1 \nR u l e s o n p r o c e d u r e s a n d m a n a g e m e n t ']",the necessary rights and access required for the authorising officer responsible for eppo in respect of those member states participating in enhanced cooperation pursuant to regulation  eu  20171939 for olaf for the court of auditors and,the necessary rights and access required for the
union fund,grant,necessary right,the necessary rights,['necessary rights'],TITLE V COMMON RULES,Article 129  Cooperation for protection of the financial interests of the Union ,"[' \nAny person or entity receiving Union funds shall fully cooperate in the protection of the financial interests of the \nUnion and shall, as a condition for receiving the funds, grant the necessary rights and access required for the authorising \nofficer responsible, for EPPO in respect of those Member States participating in enhanced cooperation pursuant to \nRegulation (EU) 2017/1939, for OLAF, for the Court of Auditors, and, where appropriate, for the relevant national \nauthorities, to comprehensively exert their respective competences. In the case of OLAF, such rights shall include the right \nto carry out investigations, including on-the-spot checks and inspections, in accordance with Regulation (EU, Euratom) \nNo 883/2013 of the European Parliament and of the Council ( 1 ). ', ' \nAny person or entity receiving Union funds under direct and indirect management shall agree in writing to grant \nthe necessary rights as referred to in paragraph 1 and shall ensure that any third parties involved in the implementation \nof Union funds grant equivalent rights. \nL 193/90    1).\n\x0c \nCHAPTER 2 \nRules applicable to direct and indirect management \nS e c t i o n 1 \nR u l e s o n p r o c e d u r e s a n d m a n a g e m e n t ']",the necessary rights,the necessary rights
union fund,refer,paragraph,to in paragraph 1,['paragraph'],TITLE V COMMON RULES,Article 129  Cooperation for protection of the financial interests of the Union ,"[' \nAny person or entity receiving Union funds shall fully cooperate in the protection of the financial interests of the \nUnion and shall, as a condition for receiving the funds, grant the necessary rights and access required for the authorising \nofficer responsible, for EPPO in respect of those Member States participating in enhanced cooperation pursuant to \nRegulation (EU) 2017/1939, for OLAF, for the Court of Auditors, and, where appropriate, for the relevant national \nauthorities, to comprehensively exert their respective competences. In the case of OLAF, such rights shall include the right \nto carry out investigations, including on-the-spot checks and inspections, in accordance with Regulation (EU, Euratom) \nNo 883/2013 of the European Parliament and of the Council ( 1 ). ', ' \nAny person or entity receiving Union funds under direct and indirect management shall agree in writing to grant \nthe necessary rights as referred to in paragraph 1 and shall ensure that any third parties involved in the implementation \nof Union funds grant equivalent rights. \nL 193/90    1).\n\x0c \nCHAPTER 2 \nRules applicable to direct and indirect management \nS e c t i o n 1 \nR u l e s o n p r o c e d u r e s a n d m a n a g e m e n t ']",to in paragraph 1,to in paragraph 1
union fund,ensure,union fund,that any third parties involved in the implementation of union funds grant equivalent rights,"['parties', 'implementation', 'union funds', 'equivalent rights']",TITLE V COMMON RULES,Article 129  Cooperation for protection of the financial interests of the Union ,"[' \nAny person or entity receiving Union funds shall fully cooperate in the protection of the financial interests of the \nUnion and shall, as a condition for receiving the funds, grant the necessary rights and access required for the authorising \nofficer responsible, for EPPO in respect of those Member States participating in enhanced cooperation pursuant to \nRegulation (EU) 2017/1939, for OLAF, for the Court of Auditors, and, where appropriate, for the relevant national \nauthorities, to comprehensively exert their respective competences. In the case of OLAF, such rights shall include the right \nto carry out investigations, including on-the-spot checks and inspections, in accordance with Regulation (EU, Euratom) \nNo 883/2013 of the European Parliament and of the Council ( 1 ). ', ' \nAny person or entity receiving Union funds under direct and indirect management shall agree in writing to grant \nthe necessary rights as referred to in paragraph 1 and shall ensure that any third parties involved in the implementation \nof Union funds grant equivalent rights. \nL 193/90    1).\n\x0c \nCHAPTER 2 \nRules applicable to direct and indirect management \nS e c t i o n 1 \nR u l e s o n p r o c e d u r e s a n d m a n a g e m e n t ']",that any third parties involved in the implementation of union funds grant equivalent rights,that any third parties involved in the implementation
