Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail,Tail First Tokens
european parliament,inform,rule,the court of auditors as soon as possible of all decisions and rules adopted pursuant to articles 12 16 21 29 30 32 and 43,"['court', 'auditors', 'decisions', 'rules', 'articles']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 254  External audit by the Court of Auditors ,"['\nThe European Parliament, the Council and the Commission shall inform the Court of Auditors, as soon as possible, of all \ndecisions and rules adopted pursuant to Articles 12, 16, 21, 29, 30, 32 and 43. ']",the court of auditors as soon as possible of all decisions and rules adopted pursuant to articles 12 16 21 29 30 32 and 43,the court of auditors as soon as possible
expenditure,have,budget,regard to the treaties the budget this regulation,"['regard', 'treaties', 'budget']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",regard to the treaties the budget this regulation,regard to the treaties the budget this regulation
relevant act,adopt,treaty,pursuant to the treaties,['treaties'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",pursuant to the treaties,pursuant to the treaties
expenditure,take,relate supervisory control system,account of the multiannual character of programmes and related supervisory and control systems,"['account', 'multiannual character', 'programmes', 'related supervisory control systems']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",account of the multiannual character of programmes and related supervisory and control systems,account of the multiannual character of programmes and
member state,have,necessary power,the necessary powers with the competent national departments where,"['necessary powers', 'competent national departments']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",the necessary powers with the competent national departments where,the necessary powers with the competent national departments
auditor,cooperate,trust,in a spirit of trust,"['spirit', 'trust']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",in a spirit of trust,in a spirit of trust
auditor,be,necessary information,present at the court of auditors in order to obtain all the necessary information for the performance of the task entrusted to it by the treaties or by acts adopted pursuant to the performance of the task entrusted to it by the treaties or by acts adopted pursuant to them,"['court', 'auditors', 'order', 'necessary information', 'performance', 'task', '', 'treaties', 'acts', 'performance', 'task', '', 'treaties', 'acts', '']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",present at the court of auditors in order to obtain all the necessary information for the performance of the task entrusted to it by the treaties or by acts adopted pursuant to the performance of the task entrusted to it by the treaties or by acts adopted pursuant to them,present at the court of auditors in order
auditor,request,union institution,during the audit operations carried out within the framework of budget implementation by or on behalf of any union institution,"['audit operations', 'framework', 'budget implementation', 'behalf', 'union institution']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",during the audit operations carried out within the framework of budget implementation by or on behalf of any union institution,during the audit operations carried out within the
auditor,ensure,cash,that all securities and cash on deposit or in hand are checked against vouchers signed by the depositories or against official memoranda of cash and securities,"['securities', 'cash', 'deposit', 'hand', 'vouchers', 'depositories', 'official memoranda', 'cash', 'securities']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 256  Checks on securities and cash ,['\nThe Court of Auditors shall ensure that all securities and cash on deposit or in hand are checked against vouchers signed \nby the depositories or against official memoranda of cash and securities held. It may carry out such checks itself. '],that all securities and cash on deposit or in hand are checked against vouchers signed by the depositories or against official memoranda of cash and securities,that all securities and cash on deposit or
cash,check,cash,against vouchers signed by the depositories or against official memoranda of cash and securities,"['vouchers', 'depositories', 'official memoranda', 'cash', 'securities']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 256  Checks on securities and cash ,['\nThe Court of Auditors shall ensure that all securities and cash on deposit or in hand are checked against vouchers signed \nby the depositories or against official memoranda of cash and securities held. It may carry out such checks itself. '],against vouchers signed by the depositories or against official memoranda of cash and securities,against vouchers signed by the depositories or against
